Alaska, data.alaska.gov
Colorado, policedata.coloradosprings.gov
Delaware, data.delaware.gov
Delaware, perspectives.dnrec.delaware.gov
Delaware, delawarecountyoh-sheriff.data.socrata.com
Delaware, delawarestate.data.socrata.com
Hawaii, dashboard.hawaii.gov
Hawaii, data.hawaii.gov
Hawaii, hicscdata.hawaii.gov
Hawaii, highways.hidot.hawaii.gov
Illinois, data.urbanaillinois.us
Iowa, mydata.iowa.gov
Iowa, results.iowa.gov
Iowa, performance.cityofdavenportiowa.com
Maine, scarboroughmaine.data.socrata.com
Maryland, opendata.maryland.gov
Massachusetts, massachusetts-it.data.socrata.com
Michigan, transparencyarchive.michigan.gov
Michigan, michigan.data.socrata.com
Michigan, michigan-data.demo.socrata.com
Missouri, missouricitytx.data.socrata.com
Ohio, data.ohiocourtofclaims.gov
Ohio, franklincountyohio.data.socrata.com
Oregon, corvallisoregon-internal.data.socrata.com
Pennsylvania, pennsylvania.demo.socrata.com
Texas, data.texas.gov
Texas, performance.austintexas.gov
Texas, portal.bcwg.texas.gov
Texas, austintexas-op-beta.demo.socrata.com
Texas, longviewtexas.data.socrata.com
Texas, texas-itcollab.data.socrata.com
Texas, texas-scgc2.demo.socrata.com
Texas, texas-scgc3.demo.socrata.com
Texas, wacotexas.data.socrata.com
Utah, opendata.utah.gov
Vermont, data.vermont.gov
Virginia, data.drpt.virginia.gov
Virginia, data.internal.drpt.virginia.gov
Virginia, data.virginia.gov
Washington, washingtoncountyok.data.socrata.com
AL, covid19.buffalony.gov
AL, dashboarddata.caloes.ca.gov
AL, data.alaska.gov
AL, data.albanyny.gov
AL, data.buffalony.gov
AL, data.internal.drpt.virginia.gov
AL, fiscalfocus.pittsburghpa.gov
AL, health.data.ny.gov
AL, healthdata.gov
AL, healthdata.nj.gov
AL, healthstat.dph.sbcounty.gov
AL, internal.agtransport.usda.gov
AL, internal.data.buffalony.gov
AL, internal.open.piercecountywa.gov
AL, portal.bcwg.texas.gov
AL, albany.data.socrata.com
AL, albanycountyny.data.socrata.com
AL, albemarlecountyva-uvaecc.data.socrata.com
AL, alexandercountync.data.socrata.com
AL, alpharetta.data.socrata.com
AL, austin-internal.data.socrata.com
AL, bcnv-internal.data.socrata.com
AL, buffalogroveil.data.socrata.com
AL, calgary.data.socrata.com
AL, capecoral.data.socrata.com
AL, centennialco.data.socrata.com
AL, cityofalbany.data.socrata.com
AL, cityofyorbalinda.data.socrata.com
AL, coa-internal.demo.socrata.com
AL, corvallisoregon-internal.data.socrata.com
AL, data.calgary.ca
AL, data.tuscaloosa.com
AL, doralfl.data.socrata.com
AL, encinitasca-internal.data.socrata.com
AL, enterpriseal.data.socrata.com
AL, fortlauderdale.data.socrata.com
AL, gallatincomt.data.socrata.com
AL, gallatintn.data.socrata.com
AL, hallandalebeachfl.data.socrata.com
AL, hhsgov-internal.data.socrata.com
AL, internal.chattadata.org
AL, internal.opendata.clermontauditor.org
AL, internal-cncs.data.socrata.com
AL, internal-columbusschools.data.socrata.com
AL, internal-ct.data.socrata.com
AL, internal-portlandme.data.socrata.com
AL, internal-sandiegocounty.data.socrata.com
AL, lomalindaca.data.socrata.com
AL, martincofl-internal.data.socrata.com
AL, mcala.data.socrata.com
AL, mobileal.data.socrata.com
AL, moreno-valley.data.socrata.com
AL, newcastle-internal.data.socrata.com
AL, opelika-al.data.socrata.com
AL, palmcoastfl.data.socrata.com
AL, siouxfalls.data.socrata.com
AL, wcad-internal.data.socrata.com
AK, data.oaklandca.gov
AK, cityofchesapeake.data.socrata.com
AK, lakelandfl-pd.data.socrata.com
AK, townofmiamilakes.data.socrata.com
AZ, citydata.mesaaz.gov
AZ, data.mesaaz.gov
AZ, casagrandeaz.data.socrata.com
AZ, coconinocountyaz.data.socrata.com
AZ, mesa-az.demo.socrata.com
AZ, www.thedatazone.ca
AZ, yumaaz-cqssl.data.socrata.com
AZ, yumaaz-ysco.data.socrata.com
AR, dashboard.hawaii.gov
AR, dashboarddata.caloes.ca.gov
AR, data.bayareametro.gov
AR, data.delaware.gov
AR, data.energystar.gov
AR, data.hartford.gov
AR, opendata.maryland.gov
AR, performance-archive.cookcountyil.gov
AR, perspectives.dnrec.delaware.gov
AR, sharefulton.fultoncountyga.gov
AR, transparencyarchive.michigan.gov
AR, albemarlecountyva-uvaecc.data.socrata.com
AR, alpharetta.data.socrata.com
AR, ardmoreok-pd.data.socrata.com
AR, ascensionparishla.data.socrata.com
AR, austin-tara.data.socrata.com
AR, calgary.data.socrata.com
AR, caravanstudios.data.socrata.com
AR, carsoncity.data.socrata.com
AR, cityoflaramie.data.socrata.com
AR, dashboard.edmonton.ca
AR, data.calgary.ca
AR, data.datacenterresearch.org
AR, data.marincounty.org
AR, data.oxnard.org
AR, data.princeedwardisland.ca
AR, delawarecountyoh-sheriff.data.socrata.com
AR, delawarestate.data.socrata.com
AR, farmersbranchtx.data.socrata.com
AR, garfieldcountyco.data.socrata.com
AR, haywardca-pd.data.socrata.com
AR, hilliardoh-pd.data.socrata.com
AR, laramiecounty.data.socrata.com
AR, martincofl.data.socrata.com
AR, martincofl-internal.data.socrata.com
AR, marysvillewa.data.socrata.com
AR, midashboard-staging.demo.socrata.com
AR, miramarfl.data.socrata.com
AR, montereyparkca.data.socrata.com
AR, ontario.demo.socrata.com
AR, parkeronline.data.socrata.com
AR, pinellasparkfl-pd.data.socrata.com
AR, pinellasparkpd.data.socrata.com
AR, scarboroughmaine.data.socrata.com
AR, sugarlandtx.data.socrata.com
AR, whitebeartownshipmn.data.socrata.com
AR, www.transparentrichmond.org
CA, bythenumbers.sco.ca.gov
CA, corstat.coronaca.gov
CA, dashboarddata.caloes.ca.gov
CA, data.debtwatch.treasurer.ca.gov
CA, data.edd.ca.gov
CA, data.ftb.ca.gov
CA, data.oaklandca.gov
CA, data.sonomacounty.ca.gov
CA, data.stocktonca.gov
CA, fiscalfocus.pittsburghpa.gov
CA, highriskregions.auditor.ca.gov
CA, open-data-demo.mtc.ca.gov
CA, amopen.amo.on.ca
CA, auditor-ca.demo.socrata.com
CA, beverlyhillsca.data.socrata.com
CA, calgary.data.socrata.com
CA, camden.demo.socrata.com
CA, capecoral.data.socrata.com
CA, caravanstudios.data.socrata.com
CA, carsoncity.data.socrata.com
CA, casagrandeaz.data.socrata.com
CA, ca-sco.demo.socrata.com
CA, castlerockco-pd.data.socrata.com
CA, cityofcamas.demo.socrata.com
CA, cityofchicago-v2.demo.socrata.com
CA, cityoftracyca.data.socrata.com
CA, costamesaca.data.socrata.com
CA, culvercityca.data.socrata.com
CA, dashboard.edmonton.ca
CA, data.calgary.ca
CA, data.edmonton.ca
CA, data.novascotia.ca
CA, data.princeedwardisland.ca
CA, data.roseville.ca.us
CA, data.strathcona.ca
CA, data.tuscaloosa.com
CA, data.wcad.org
CA, data.winnipeg.ca
CA, encinitasca-internal.data.socrata.com
CA, ethica-pr.data.socrata.com
CA, haywardca-pd.data.socrata.com
CA, huronca.data.socrata.com
CA, lomalindaca.data.socrata.com
CA, mcala.data.socrata.com
CA, montebelloca-pd.data.socrata.com
CA, montereyparkca.data.socrata.com
CA, newcastle.data.socrata.com
CA, newcastle-internal.data.socrata.com
CA, openinformation.novascotia.ca
CA, performance.cityofcamas.us
CA, porthuenemeca.data.socrata.com
CA, scarboroughmaine.data.socrata.com
CA, soquelcreekwdca.data.socrata.com
CA, temeculaca.data.socrata.com
CA, villageofkeybiscayne.data.socrata.com
CA, wcad-internal.data.socrata.com
CA, www.thedatazone.ca
CO, bis.data.commerce.gov
CO, bythenumbers.sco.ca.gov
CO, census.data.commerce.gov
CO, corstat.coronaca.gov
CO, covid19.buffalony.gov
CO, data.americorps.gov
CO, data.commerce.gov
CO, data.fultoncountyga.gov
