City,State-Abbr.,API-site,Working
Anchorage,AK,data.muni.org,socrata
Montgomery,AL,data.montgomerycountymd.gov,socrata
Chandler,AZ,share-open-data-changis.hub.arcgis.com,arcgis
Glendale,AZ,glendaleaz-cog-gis.hub.arcgis.com,arcgis
Mesa,AZ,data.mesaaz.gov,socrata
Phoenix,AZ,phoenixopendata.com,ckan
Scottsdale,AZ,data-cos-gis.hub.arcgis.com,arcgis
Tempe,AZ,open-tempe-tempegov.hub.arcgis.com,arcgis
Tucson,AZ,data-cotgis.opendata.arcgis.com,arcgis
Los Angeles,CA,data.lacity.org,socrata
Anaheim,CA,main-anaheim.opendata.arcgis.com,arcgis
Bakersfield,CA,bakersfielddatalibrary-cob.opendata.arcgis.com,arcgis
Berkeley,CA,data.cityofberkeley.info,socrata
Chula Vista,CA,chulavista-cvgis.opendata.arcgis.com,arcgis
Fremont,CA,fremont-ca-open-data-cofgis.hub.arcgis.com,arcgis
Long Beach,CA,prod-longbeachca.hub.arcgis.com,arcgis
Oakland,CA,data.oaklandca.gov,socrata
Riverside,CA,data.countyofriverside.us,socrata
Sacramento,CA,data-sacramentocounty.opendata.arcgis.com,arcgis
San Bernardino,CA,data-sbcounty.opendata.arcgis.com,arcgis
San Diego,CA,internal-sandiegocounty.data.socrata.com,socrata
San Francisco,CA,data.sfgov.org,socrata
San Jose,CA,gisdata-csj.opendata.arcgis.com,arcgis
San Mateo,CA,data-smcmaps.opendata.arcgis.com,arcgis
Santa Clara,CA,data.smgov.net,socrata
Colorado,CO,data.colorado.gov,socrata
Aurora,CO,data-auroraco.opendata.arcgis.com,arcgis
Denver,CO,data.colorado.gov?q=denver,
Connecticut,CT,data.ct.gov,socrata
Hartford,CT,hartstat.hartford.gov,socrata
Wellington,FL,opendata2-pbcgov.opendata.arcgis.com,arcgis
Miami,FL,data.miamigov.com,socrata
Jacksonville,FL,,0
Orlando,FL,data.cityoforlando.net,socrata
Tampa,FL,city-tampa.opendata.arcgis.com,arcgis
Atlanta,GA,atlanta.data.socrata.com,socrata
Honolulu,HI,data.honolulu.gov,socrata
Iowa,IA,data.iowa.gov,socrata
Boise,ID,city-of-boise.opendata.arcgis.com,arcgis
Chicago,IL,data.cityofchicago.org,socrata
Illinois,IL,data.urbanaillinois.us,socrata
Cook County,IL,datacatalog.cookcountyil.gov,socrata
Fort Wayne,IN,hub.mph.in.gov?q=fort%20wayne,
South Bend,IN,data-southbend.opendata.arcgis.com,arcgis
Olathe,KA,olathe.data.socrata.com,socrata
Kansas City,KS,data.kcmo.org,socrata
Wichita,KS,data-cityofwichita.hub.arcgis.com,arcgis
Lexington,KY,maps-lexco-gis.hub.arcgis.com,arcgis
Louisville,KY,,0
New Orleans,LA,data.nola.gov,socrata
Baton Rouge,LA,data.brla.gov,socrata
Boston,MA,bostonopendata-boston.opendata.arcgis.com,arcgis
Cambridge,MA,data.cambridgema.gov,socrata
Somerville,MA,data.somervillema.gov,socrata
Baltimore,MD,bmore-open-data-baltimore.hub.arcgis.com,arcgis
Maryland,MD,data.maryland.gov,socrata
Howard County,MD,opendata.howardcountymd.gov,socrata
Prince George County,MD,data.princegeorgescountymd.gov,socrata
Detroit,MI,data-detroitmi.hub.arcgis.com,arcgis
Michigan,MI,data.michigan.gov,socrata
Austin,MN,bronx.lehman.cuny.edu,socrata
Minneapolis,MN,openmpls-cityoflakes.opendata.arcgis.com,arcgis
St. Paul,MN,information-stpaul.hub.arcgis.com,arcgis
Missouri,MO,data.mo.gov,socrata
Kansas City,MO,data.kcmo.org,socrata
St. Louis,MO,data-stlcogis.opendata.arcgis.com,arcgis
Raleigh,NC,data-ral.opendata.arcgis.com,arcgis
Charlotte,NC,opencharlotte-charlotte.opendata.arcgis.com,arcgis
Durham,NC,live-durhamnc.opendata.arcgis.com,arcgis
Greensboro,NC,open-gate-city-greensboro.hub.arcgis.com,arcgis
Winston-Salem,NC,demo-cows.opendata.arcgis.com,arcgis
Lincoln,NE,data2-lincolnne.opendata.arcgis.com,arcgis
Omaha,NE,data-dogis.opendata.arcgis.com,arcgis
Jersey City,NJ,data.nj.gov,socrata
Newark,NJ,data-newgin.opendata.arcgis.com,arcgis
Albuquerque,NM,,0
Las Vegas,NV,opendataportal-lasvegas.opendata.arcgis.com,arcgis
Henderson,NV,opendata.cityofhenderson.com,socrata
Reno,NV,moreno-valley.data.socrata.com,socrata
New York City,NY,data.cityofnewyork.us,socrata
Buffalo,NY,data.ny.gov,socrata
Cincinnati,OH,data.cincinnati-oh.gov,socrata
Columbus,OH,internal-columbusschools.data.socrata.com,socrata
Oklahoma,OK,data.ok.gov,ckan
Tulsa,OK,gis2-cityoftulsa.opendata.arcgis.com,arcgis
Oregon,OR,data.oregon.gov,socrata
Portland,OR,internal-portlandme.data.socrata.com,socrata
Philadelphia,PA,opendataphilly.org,0
